Dataset,Model,CV Accuracy,CV Std,Test Accuracy,Balanced Accuracy,Macro Precision,Macro Recall,Macro F1,Time
Rice,RBF-SVM,0.9301149425287356,0.012019828138447474,0.9173228346456693,0.9157567400236393,0.9154381524833913,0.9157567400236393,0.9155957753932658,6.453893500030972
Rice,Random Forest,0.9251926027618509,0.00805366165765576,0.9212598425196851,0.9164884336128778,0.9224807308021696,0.9164884336128778,0.9190464048954615,17.931943300063722
Dry Bean,RBF-SVM,0.9299435288242466,0.006963728046451053,0.9243263196751569,0.9368362649074726,0.9337958464225308,0.9368362649074726,0.9351544437337511,9.717741300002672
Dry Bean,Random Forest,0.9249590410339599,0.0053152266188649195,0.917312661498708,0.9286306333010093,0.9302351079391246,0.9286306333010093,0.9293467007552222,93.9549101999728
